  70   1   1   1      0.00    -36.40     -2.79     -6.31
  70   1   1   2      0.00    -73.20     -2.79     -6.78
  70   1   1   3      0.00    -93.10     -2.79     -8.06
  70   1   1   4      0.00    -91.30     -3.37     -8.41
  70   1   1   5      0.00    -56.60     -3.60     -8.96
  70   1   1   6      0.00    -50.90     -4.19     -9.00
  70   1   1   7      0.00    -47.50     -4.30     -9.98
  70   1   1   8      0.00    -35.10     -4.88    -10.47
  70   1   1   9      1.20    -27.70     -5.00    -11.18
  70   1   1  10     20.60     14.10     -5.58    -10.94
  70   1   1  11     55.70     57.80     -6.16     -9.59
  70   1   1  12     37.60     27.60     -6.28     -8.51
  70   1   1  13     41.00     25.70     -5.58     -6.95
  70   1   1  14     58.10     54.80     -4.65     -6.46
  70   1   1  15     48.60     30.40     -4.19     -6.72
  70   1   1  16     14.70     -0.20     -4.19     -6.84
  70   1   1  17      0.10    -10.50     -4.19     -6.67
  70   1   1  18      0.00     -4.50     -3.84     -6.45
  70   1   1  19      0.00     -0.70     -3.49     -5.96
  70   1   1  20      0.00     -1.70     -3.49     -5.26
  70   1   1  21      0.00     -4.20     -2.91     -4.28
  70   1   1  22      0.00     -0.60     -2.79     -3.95
  70   1   1  23      0.00     -1.70     -2.79     -3.48
  70   1   1  24      0.00     -2.30     -2.79     -2.90
  70   1   2   1      0.00     -0.70     -2.09     -2.25
  70   1   2   2      0.00     -2.30     -2.09     -1.28
  70   1   2   3      0.00     -2.80     -2.09     -1.19
  70   1   2   4      0.00     -2.10     -1.63     -1.00
  70   1   2   5      0.00     -4.40     -1.40     -0.40
  70   1   2   6      0.00     -4.60     -1.40      0.03
  70   1   2   7      0.00     -6.90     -1.40      0.30
  70   1   2   8      0.00    -29.70     -1.40     -0.11
  70   1   2   9      1.20    -42.40     -1.28     -0.51
  70   1   2  10     32.80    -55.10     -0.81     -1.22
  70   1   2  11     90.00    -24.50     -0.70     -1.02
  70   1   2  12     68.40    -18.10     -0.70     -1.10
  70   1   2  13     86.90    -51.40     -0.70     -1.20
  70   1   2  14    154.30    -34.90     -0.70     -0.89
  70   1   2  15     64.50    -33.40     -0.70     -1.16
  70   1   2  16     10.20    -77.00     -0.70     -2.46
  70   1   2  17      0.00    -57.00     -0.70     -2.98
  70   1   2  18      0.00    -50.80     -0.70     -2.81
  70   1   2  19      0.00    -60.70     -0.70     -3.26
  70   1   2  20      0.00    -77.80     -0.70     -4.12
  70   1   2  21      0.00    -76.50     -1.05     -5.43
  70   1   2  22      0.00    -75.20     -1.40     -5.91
  70   1   2  23      0.00    -72.70     -1.40     -6.50
  70   1   2  24      0.00    -61.90     -1.40     -6.70
  70   1   3   1      0.00    -50.90     -1.40     -5.67
  70   1   3   2      0.00    -42.40     -1.74     -6.01
  70   1   3   3      0.00    -37.60     -2.09     -5.71
  70   1   3   4      0.00    -34.50     -2.09     -5.35
  70   1   3   5      0.00    -32.40     -2.09     -5.31
  70   1   3   6      0.00    -27.70     -2.09     -5.48
  70   1   3   7      0.00    -30.10     -2.09     -5.69
  70   1   3   8      0.00    -23.50     -2.09     -5.46
  70   1   3   9      2.90    -21.80     -2.09     -4.16
  70   1   3  10     36.30     -5.70     -2.09     -4.04
  70   1   3  11     99.10      4.00     -2.09     -3.69
  70   1   3  12    142.40     34.50     -2.09     -3.18
  70   1   3  13    153.70     34.60     -1.74     -2.62
  70   1   3  14    132.70      1.70     -1.40     -2.39
  70   1   3  15     85.90    -39.40     -1.63     -2.98
  70   1   3  16     18.10    -58.20     -1.40     -4.47
  70   1   3  17      0.10    -51.90     -1.40     -5.82
  70   1   3  18      0.00    -43.20     -1.63     -5.82
  70   1   3  19      0.00    -30.00     -2.09     -5.63
  70   1   3  20      0.00    -26.50     -2.09     -5.97
  70   1   3  21      0.00    -16.30     -2.09     -6.18
  70   1   3  22      0.00     -9.60     -2.09     -5.63
  70   1   3  23      0.00     -4.60     -2.09     -4.72
  70   1   3  24      0.00     -1.50     -2.09     -2.82
  70   1   4   1      0.00     -1.00     -2.09     -2.25
  70   1   4   2      0.00     -0.80     -2.09     -2.11
  70   1   4   3      0.00     -8.30     -1.63     -1.51
  70   1   4   4      0.00     -6.50     -1.40     -0.55
  70   1   4   5      0.00    -16.20     -1.40      0.27
  70   1   4   6      0.00    -20.00     -1.40      0.24
  70   1   4   7      0.00     -5.10     -1.40      0.76
  70   1   4   8      0.00    -14.70     -1.05      0.63
  70   1   4   9      1.40     -6.80     -0.70      0.45
  70   1   4  10     18.40     -5.10     -0.70      0.55
  70   1   4  11     57.90      5.80     -0.70      0.50
  70   1   4  12     62.00      8.80     -0.70      0.76
  70   1   4  13     76.50     11.60     -0.70      0.88
  70   1   4  14     79.80     -7.50     -0.70      1.13
  70   1   4  15     82.70    -48.70     -0.70      0.97
  70   1   4  16     22.70    -77.30     -0.70     -0.04
  70   1   4  17      0.20    -54.80     -0.70     -0.35
  70   1   4  18      0.00    -67.50     -0.70     -0.91
  70   1   4  19      0.00    -20.40     -0.70     -0.24
  70   1   4  20      0.00    -10.50     -0.70      0.49
  70   1   4  21      0.00    -18.10     -0.70      0.58
  70   1   4  22      0.00     -3.40     -0.70      0.60
  70   1   4  23      0.00     -8.50     -0.70      0.11
  70   1   4  24      0.00    -13.70     -0.70     -0.33
  70   1   5   1      0.00    -18.50     -0.70     -0.94
  70   1   5   2      0.00     -8.10     -0.70     -1.67
  70   1   5   3      0.00    -13.50     -0.70     -2.09
  70   1   5   4      0.00    -30.00     -0.70     -2.71
  70   1   5   5      0.00     -8.10     -0.70     -2.53
  70   1   5   6      0.00    -11.20     -0.70     -2.86
  70   1   5   7      0.00    -38.00     -0.70     -3.32
  70   1   5   8      0.00    -27.60     -0.70     -4.99
  70   1   5   9      0.90     -2.90     -0.70     -4.15
  70   1   5  10     12.10     -4.60     -0.70     -3.01
  70   1   5  11     31.40     -2.10     -0.70     -2.99
  70   1   5  12     45.00      1.80     -0.70     -3.34
  70   1   5  13     52.90      5.90     -0.70     -3.71
  70   1   5  14     51.20      5.30     -0.70     -4.00
  70   1   5  15     26.00     -1.40     -0.70     -4.09
  70   1   5  16      8.00     -6.10     -0.70     -4.59
  70   1   5  17      0.30     -8.10     -0.70     -4.67
  70   1   5  18      0.00     -7.90     -0.70     -5.12
  70   1   5  19      0.00     -6.70     -0.70     -5.43
  70   1   5  20      0.00     -6.30     -0.70     -5.22
